Protein_accession	uni_ipro_access	uni_ipro_desc	uni_GO_annot
CopciAB_462840.T0	IPR021132__IPR021131__IPR000039__IPR036227	Ribosomal protein L18/L18-A/B/e, conserved site__Ribosomal protein L18e/L15P__Ribosomal protein L18e__Ribosomal L18e/L15P superfamily	GO:0003735|GO:0005840|GO:0006412__-__GO:0003735|GO:0005840|GO:0006412__-
CopciAB_462868.T0	IPR017972__IPR036396__IPR002401__IPR001128	Cytochrome P450, conserved site__Cytochrome P450 superfamily__Cytochrome P450, E-class, group I__Cytochrome P450	GO:0005506|GO:0016705__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037
CopciAB_462871.T0	IPR032675	Leucine-rich repeat domain superfamily	-
CopciAB_462917.T0	IPR036047__IPR001810	F-box-like domain superfamily__F-box domain	GO:0005515__GO:0005515
CopciAB_462932.T0	IPR040466__IPR009269	NF-kappa-B-activating protein__NF-kappa-B-activating protein, C-terminal	-__GO:0003682
CopciAB_462936.T0	IPR036397__IPR047021__IPR013520__IPR034922__IPR012337	Ribonuclease H superfamily__RNA exonuclease REXO1/REXO3/REXO4-like__Exonuclease, RNase T/DNA polymerase III__RNA exonuclease 1-like, exonuclease domain__Ribonuclease H-like superfamily	GO:0003676__GO:0004527__-__-__-
CopciAB_462946.T0	IPR005772__IPR036906__IPR008218	ATPase, V1 complex, subunit F, eukaryotic__ATPase, V1 complex, subunit F superfamily__ATPase, V1 complex, subunit F	GO:0033180|GO:0046961|GO:1902600__GO:0034220__GO:0034220|GO:0046961
CopciAB_462948.T0	IPR016635__IPR022775__IPR000804__IPR011012	Adaptor protein complex, sigma subunit__AP complex, mu/sigma subunit__Clathrin adaptor complex, small chain__Longin-like domain superfamily	GO:0015031__-__GO:0006886|GO:0016192|GO:0030117__-
CopciAB_462969.T0	IPR003959__IPR027417__IPR015415__IPR036181__IPR007330__IPR045253__IPR041569__IPR003960__IPR003593	ATPase, AAA-type, core__P-loop containing nucleoside triphosphate hydrolase__Vps4 oligomerisation, C-terminal__MIT domain superfamily__MIT domain__Vacuolar protein sorting-associated protein 4, MIT domain__AAA ATPase, AAA+ lid domain__ATPase, AAA-type, conserved site__AAA+ ATPase domain	GO:0005524|GO:0016887__-__-__-__-__-__-__GO:0005524|GO:0016887__-
CopciAB_463000.T0	IPR024655__IPR017853	Asl1-like, glycosyl hydrolase catalytic domain__Glycoside hydrolase superfamily	-__-
CopciAB_463012.T0	IPR000219__IPR035899	Dbl homology (DH) domain__Dbl homology (DH) domain superfamily	GO:0005085__-
CopciAB_463015.T0	IPR005828__IPR005829__IPR036259__IPR003663__IPR020846	Major facilitator, sugar transporter-like__Sugar transporter, conserved site__MFS transporter superfamily__Sugar/inositol transporter__Major facilitator superfamily domain	GO:0016020|GO:0022857|GO:0055085__GO:0016020|GO:0022857|GO:0055085__-__GO:0016020|GO:0022857|GO:0055085__GO:0022857
CopciAB_463022.T0	IPR045339	Domain of unknown function DUF6534	-
CopciAB_463032.T0	IPR029058__IPR000073	Alpha/Beta hydrolase fold__Alpha/beta hydrolase fold-1	-__-
CopciAB_463045.T0	IPR036259__IPR011701	MFS transporter superfamily__Major facilitator superfamily	-__GO:0022857|GO:0055085
CopciAB_463061.T0	IPR018535	Domain of unknown function DUF1996	-
CopciAB_463070.T0	IPR024049__IPR005142__IPR005140__IPR004403__IPR029064__IPR042226__IPR005141	eRF1, domain 1__eRF1 domain 3__eRF1 domain 1/Pelota-like__Peptide chain release factor eRF1/aRF1__50S ribosomal protein L30e-like__eRF1, domain 2 superfamily__eRF1 domain 2	-__-__-__GO:0003747|GO:0006415__-__-__-
CopciAB_463077.T0	IPR017907__IPR001841__IPR013956__IPR013083	Zinc finger, RING-type, conserved site__Zinc finger, RING-type__E3 ubiquitin ligase Bre1__Zinc finger, RING/FYVE/PHD-type	-__-__GO:0004842|GO:0010390__-
CopciAB_463086.T0	IPR007268__IPR046938	Rad9/Ddc1__DNA clamp superfamily	GO:0000077|GO:0030896__-
CopciAB_463096.T0	IPR037800__IPR000182__IPR018359__IPR036427__IPR001487__IPR016181	Histone acetyltransferase GCN5__GNAT domain__Bromodomain, conserved site__Bromodomain-like superfamily__Bromodomain__Acyl-CoA N-acyltransferase	GO:0004402__GO:0016747__-__GO:0005515__GO:0005515__-
CopciAB_463106.T0	IPR006186__IPR047129__IPR029052__IPR004843	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase__Serine/Threonine protein phosphatase PP2A-like__Metallo-dependent phosphatase-like__Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787__GO:0004722__-__GO:0016787
CopciAB_463114.T0	IPR015803__IPR009080__IPR024909__IPR014729__IPR032678	Cysteine-tRNA ligase__Aminoacyl-tRNA synthetase, class Ia, anticodon-binding__Cysteinyl-tRNA synthetase/mycothiol ligase__Rossmann-like alpha/beta/alpha sandwich fold__tRNA synthetases class I, catalytic domain	GO:0004817|GO:0005524|GO:0006423__GO:0000166|GO:0004812|GO:0005524|GO:0006418__-__-__-
CopciAB_463140.T0	IPR011990__IPR019734__IPR031101	Tetratricopeptide-like helical domain superfamily__Tetratricopeptide repeat__RNA polymerase-associated protein Ctr9	GO:0005515__GO:0005515__GO:0006355|GO:0016570
CopciAB_463145.T0	IPR003819__IPR042098	TauD/TfdA-like domain__Taurine dioxygenase TauD-like superfamily	GO:0016491__-
CopciAB_463162.T0	IPR029063__IPR019410	S-adenosyl-L-methionine-dependent methyltransferase superfamily__Lysine methyltransferase	-__-
CopciAB_463163.T0	IPR040457__IPR042241__IPR007259	Gamma tubulin complex component, C-terminal__Gamma-tubulin complex component, C-terminal domain superfamily__Gamma-tubulin complex component protein	GO:0043015__-__GO:0000226|GO:0000922|GO:0005815|GO:0007020|GO:0043015
CopciAB_463181.T0	IPR023395__IPR018108__IPR002067	Mitochondrial carrier domain superfamily__Mitochondrial substrate/solute carrier__Mitochondrial carrier protein	-__-__GO:0055085
CopciAB_463215.T0	IPR038753	NF-kappa-B inhibitor-like protein 1	GO:0007249
CopciAB_463226.T0	IPR031755	Peptidase inhibitor I66	GO:0004867
CopciAB_463240.T0	IPR000073__IPR029058	Alpha/beta hydrolase fold-1__Alpha/Beta hydrolase fold	-__-
CopciAB_463248.T0	IPR036291__IPR002347	NAD(P)-binding domain superfamily__Short-chain dehydrogenase/reductase SDR	-__-
CopciAB_463252.T0	IPR021711	Protein of unknown function DUF3295	-
CopciAB_463269.T0	IPR001623__IPR036869	DnaJ domain__Chaperone J-domain superfamily	-__-
CopciAB_463295.T0	IPR046341__IPR001214	SET domain superfamily__SET domain	-__GO:0005515
CopciAB_463299.T0	IPR000594__IPR035985__IPR045886	THIF-type NAD/FAD binding fold__Ubiquitin-activating enzyme__ThiF/MoeB/HesA family	-__GO:0008641__-
CopciAB_463302.T0	IPR001214__IPR046341	SET domain__SET domain superfamily	GO:0005515__-
CopciAB_463307.T0	IPR001128__IPR017972__IPR036396__IPR002401	Cytochrome P450__Cytochrome P450, conserved site__Cytochrome P450 superfamily__Cytochrome P450, E-class, group I	GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0005506|GO:0016705__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037
CopciAB_463313.T0	IPR000757__IPR013320	Glycoside hydrolase family 16__Concanavalin A-like lectin/glucanase domain superfamily	GO:0004553|GO:0005975__-
CopciAB_463314.T0	IPR018824	Conidiation-specific protein 6	-
CopciAB_463342.T0	IPR001810__IPR036047	F-box domain__F-box-like domain superfamily	GO:0005515__GO:0005515
CopciAB_463372.T0	IPR006805__IPR019999__IPR005801__IPR005256__IPR015890	Anthranilate synthase component I, N-terminal__Anthranilate synthase component I-like__ADC synthase__Anthranilate synthase component I, PabB-like__Chorismate-utilising enzyme, C-terminal	GO:0009058__GO:0009058__GO:0009058__GO:0000162|GO:0004049__-
CopciAB_463387.T0	IPR023395__IPR018108	Mitochondrial carrier domain superfamily__Mitochondrial substrate/solute carrier	-__-
CopciAB_463426.T0	IPR001279__IPR041516__IPR036866__IPR036388	Metallo-beta-lactamase__LACTB2, winged helix domain__Ribonuclease Z/Hydroxyacylglutathione hydrolase-like__Winged helix-like DNA-binding domain superfamily	-__-__-__-
CopciAB_463452.T0	IPR011993__IPR000904__IPR035999__IPR023394__IPR001849__IPR041681	PH-like domain superfamily__Sec7 domain__Sec7 domain superfamily__Sec7, C-terminal domain superfamily__Pleckstrin homology domain__Pleckstrin homology domain 9	-__GO:0005085|GO:0032012__GO:0005085|GO:0032012__-__-__-
CopciAB_463453.T0	IPR000679__IPR013860__IPR039355__IPR013088	Zinc finger, GATA-type__Nitrogen regulatory protein areA, GATA-like domain__Transcription factor GATA__Zinc finger, NHR/GATA-type	GO:0006355|GO:0043565__-__GO:0003700|GO:0006357__GO:0006355|GO:0008270
CopciAB_463489.T0	IPR001163__IPR034099__IPR047575__IPR010920__IPR027141	Sm domain, eukaryotic/archaea-type__Small nuclear ribonucleoprotein Sm D3__Sm domain__LSM domain superfamily__Like-Sm (LSM) domain containing protein, LSm4/SmD1/SmD3	-__GO:0000387|GO:0005681__GO:0003723__-__GO:0006396
CopciAB_463500.T0	IPR047260__IPR004579__IPR010994__IPR011335	ERCC1-like, central domain__ERCC1/RAD10/SWI10 family__RuvA domain 2-like__Restriction endonuclease type II-like	-__GO:0003684|GO:0005634|GO:0006281__-__-
CopciAB_463513.T0	IPR022042	snRNA-activating protein complex, subunit 3	-
CopciAB_463515.T0	IPR039974__IPR021715	Pre-mRNA-splicing factor SLU7__Pre-mRNA-splicing factor SLU7 domain	GO:0000398|GO:0030628__-
CopciAB_463517.T0	IPR029058__IPR016292__IPR000639__IPR010497	Alpha/Beta hydrolase fold__Epoxide hydrolase__Epoxide hydrolase-like__Epoxide hydrolase, N-terminal	-__GO:0016803__GO:0003824__-
CopciAB_463518.T0	IPR036898__IPR003029__IPR012340__IPR005576__IPR045113	RNA polymerase Rpb7-like, N-terminal domain superfamily__S1 domain__Nucleic acid-binding, OB-fold__RNA polymerase Rpb7-like , N-terminal__RNA polymerase subunit Rpb7-like	-__GO:0003676__-__GO:0006351__GO:0006352
CopciAB_463546.T0	IPR027267__IPR004148__IPR037429__IPR046982	AH/BAR domain superfamily__BAR domain__Rvs161/Hob3, BAR domain__Bridging integrator 3/RVS161-like	-__GO:0005515|GO:0005737__GO:0007015__GO:0006897|GO:0051666
CopciAB_463557.T0	IPR002893	Zinc finger, MYND-type	-
CopciAB_463566.T0	IPR018783__IPR038212	Transcription factor, enhancer of yellow 2__Transcription factor EnY2 superfamily	GO:0000124|GO:0003713|GO:0005643|GO:0006406|GO:0045893__-
CopciAB_463567.T0	IPR004023__IPR036605	Mago nashi protein__Mago nashi superfamily	GO:0008380|GO:0035145__GO:0005634
CopciAB_463573.T0	IPR036864__IPR007219__IPR001138	Zn(2)-C6 fungal-type DNA-binding domain superfamily__Transcription factor domain, fungi__Zn(2)Cys(6) fungal-type DNA-binding domain	GO:0000981|GO:0006355|GO:0008270__GO:0003677|GO:0006351|GO:0008270__GO:0000981|GO:0006355|GO:0008270
CopciAB_463627.T0	IPR036597__IPR003812__IPR040198	Fido-like domain superfamily__Fido domain__Fido domain-containing protein	-__-__-
CopciAB_463647.T0	IPR001342__IPR011147__IPR005106__IPR022697__IPR036291	Homoserine dehydrogenase, catalytic__Bifunctional aspartokinase/homoserine dehydrogenase__Aspartate/homoserine dehydrogenase, NAD-binding__Homoserine dehydrogenase lacking ACT domain__NAD(P)-binding domain superfamily	GO:0006520__GO:0004072|GO:0004412|GO:0009067__GO:0016491|GO:0050661__GO:0004412__-
CopciAB_463667.T0	IPR002893	Zinc finger, MYND-type	-
CopciAB_463668.T0	IPR042099__IPR020845__IPR045851__IPR025110__IPR000873	ANL, N-terminal domain__AMP-binding, conserved site__AMP-binding enzyme, C-terminal domain superfamily__AMP-binding enzyme, C-terminal domain__AMP-dependent synthetase/ligase domain	-__-__-__-__-
CopciAB_463701.T0	IPR006370__IPR030470__IPR000537__IPR039653__IPR044878	4-hydroxybenzoate polyprenyltransferase-like__UbiA prenyltransferase conserved site__UbiA prenyltransferase family__Prenyltransferase__UbiA prenyltransferase superfamily	GO:0004659|GO:0016020__-__GO:0016020|GO:0016765__-__-
CopciAB_463751.T0	IPR032675	Leucine-rich repeat domain superfamily	-
CopciAB_463767.T0	IPR009991	Dynactin subunit 3	GO:0005869|GO:0061640
CopciAB_463792.T0	IPR010286__IPR029063__IPR017182	METTL16/RlmF family__S-adenosyl-L-methionine-dependent methyltransferase superfamily__Methyltransferase METTL16/PsiM	GO:0008168__-__GO:0008168
CopciAB_463799.T0	IPR027417__IPR041569__IPR003960__IPR003959__IPR003593	P-loop containing nucleoside triphosphate hydrolase__AAA ATPase, AAA+ lid domain__ATPase, AAA-type, conserved site__ATPase, AAA-type, core__AAA+ ATPase domain	-__-__GO:0005524|GO:0016887__GO:0005524|GO:0016887__-
CopciAB_463803.T0	IPR007365__IPR036757__IPR039373__IPR007484	Transferrin receptor-like, dimerisation domain__Transferrin receptor-like, dimerisation domain superfamily__Glutamate carboxypeptidase 2-like__Peptidase M28	-__-__-__-
CopciAB_463809.T0	IPR036866__IPR013471__IPR027794	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like__Ribonuclease Z/BN__tRNase Z endonuclease	-__GO:0016891|GO:0042779__GO:0008033
CopciAB_463813.T0	IPR011333__IPR000210	SKP1/BTB/POZ domain superfamily__BTB/POZ domain	-__GO:0005515
CopciAB_463819.T0	IPR005024	Snf7 family	GO:0007034
CopciAB_463859.T0	IPR000210__IPR011333	BTB/POZ domain__SKP1/BTB/POZ domain superfamily	GO:0005515__-
CopciAB_463861.T0	IPR029063__IPR019410__IPR033684	S-adenosyl-L-methionine-dependent methyltransferase superfamily__Lysine methyltransferase__Protein-lysine N-methyltransferase EFM6	-__-__-
CopciAB_463894.T0	IPR011989__IPR034085__IPR024395__IPR016024	Armadillo-like helical__TOG domain__CLASP N-terminal domain__Armadillo-type fold	-__-__-__-
CopciAB_463899.T0	IPR028598__IPR001680__IPR019775__IPR012953__IPR036322__IPR015943	WD repeat BOP1/Erb1__WD40 repeat__WD40 repeat, conserved site__BOP1, N-terminal domain__WD40-repeat-containing domain superfamily__WD40/YVTN repeat-like-containing domain superfamily	GO:0042254__GO:0005515__-__GO:0006364__GO:0005515__GO:0005515
CopciAB_463908.T0	IPR027267__IPR037470__IPR013606	AH/BAR domain superfamily__Protein IVY1__IMD/I-BAR domain	-__GO:0000329|GO:0005543|GO:0042144__GO:0007009
CopciAB_463915.T0	IPR009737__IPR036249	Thioredoxin-like ferredoxin__Thioredoxin-like superfamily	-__-
CopciAB_463919.T0	IPR012677__IPR000504__IPR035979	Nucleotide-binding alpha-beta plait domain superfamily__RNA recognition motif domain__RNA-binding domain superfamily	-__GO:0003723__GO:0003676
CopciAB_463961.T0	IPR011989__IPR016024__IPR002554	Armadillo-like helical__Armadillo-type fold__Protein phosphatase 2A, regulatory B subunit, B56	-__-__GO:0000159|GO:0007165|GO:0019888
CopciAB_463995.T0	IPR000133	ER lumen protein retaining receptor	GO:0006621|GO:0016020|GO:0046923
CopciAB_464027.T0	IPR018456__IPR036259__IPR000109	PTR2 family proton/oligopeptide symporter, conserved site__MFS transporter superfamily__Proton-dependent oligopeptide transporter family	GO:0006857|GO:0016020|GO:0022857__-__GO:0016020|GO:0022857|GO:0055085
CopciAB_464031.T0	IPR029058__IPR000073	Alpha/Beta hydrolase fold__Alpha/beta hydrolase fold-1	-__-
CopciAB_464040.T0	IPR032710	NTF2-like domain superfamily	-
CopciAB_464042.T0	IPR001810__IPR032675	F-box domain__Leucine-rich repeat domain superfamily	GO:0005515__-
CopciAB_464081.T0	IPR000362__IPR020557__IPR005677__IPR018951__IPR022761__IPR008948__IPR024083	Fumarate lyase family__Fumarate lyase, conserved site__Fumarate hydratase, class II__Fumarase C, C-terminal__Fumarate lyase, N-terminal__L-Aspartase-like__Fumarase/histidase, N-terminal	-__GO:0003824__GO:0004333|GO:0006106|GO:0045239__GO:0006099|GO:0016829__-__GO:0003824__-
CopciAB_464092.T0	IPR001623__IPR036869	DnaJ domain__Chaperone J-domain superfamily	-__-
CopciAB_464095.T0	IPR006886	DNA-directed RNA polymerase III subunit Rpc5	GO:0005634|GO:0006351
CopciAB_464104.T0	IPR016024__IPR011989__IPR022716__IPR021133__IPR034085	Armadillo-type fold__Armadillo-like helical__Gcn1, N-terminal__HEAT, type 2__TOG domain	-__-__-__-__-
CopciAB_464105.T0	IPR007400	PrpF protein	-
CopciAB_464107.T0	IPR011048__IPR015943__IPR019405	Cytochrome cd1-nitrite reductase-like, haem d1 domain superfamily__WD40/YVTN repeat-like-containing domain superfamily__Lactonase, 7-bladed beta propeller	-__GO:0005515__-
CopciAB_464113.T0	IPR032675	Leucine-rich repeat domain superfamily	-
CopciAB_464129.T0	IPR001377__IPR014401__IPR018282	Ribosomal protein S6e__Ribosomal protein S6, eukaryotic__Ribosomal protein S6/S6e/A/B/2, conserved site	GO:0003735|GO:0005840|GO:0006412__GO:0003735|GO:0005840|GO:0006412__GO:0003735|GO:0005840|GO:0006412
CopciAB_464132.T0	IPR002498__IPR023610__IPR027484	Phosphatidylinositol-4-phosphate 5-kinase, core__Phosphatidylinositol-4-phosphate 5-kinase__Phosphatidylinositol-4-phosphate 5-kinase, N-terminal	GO:0016307|GO:0046488__-__-
CopciAB_464188.T0	IPR000439__IPR024794__IPR012678__IPR020925	Ribosomal protein L15e__Ribosomal protein L15e core domain superfamily__Ribosomal protein L23/L15e core domain superfamily__Ribosomal protein L15e, conserved site	GO:0003735|GO:0005840|GO:0006412__GO:0003735|GO:0005840__GO:0003735|GO:0005840|GO:0006412__GO:0003735|GO:0005840|GO:0006412
CopciAB_464206.T0	IPR002737	MEMO1 family	-
CopciAB_464213.T0	IPR045864__IPR012340__IPR004523__IPR002312__IPR006195__IPR004364__IPR004365	Class II Aminoacyl-tRNA synthetase/Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL)__Nucleic acid-binding, OB-fold__Aspartate-tRNA synthetase, type 2__Aspartyl/Asparaginyl-tRNA synthetase, class IIb__Aminoacyl-tRNA synthetase, class II__Aminoacyl-tRNA synthetase, class II (D/K/N)__OB-fold nucleic acid binding domain, AA-tRNA synthetase-type	-__-__GO:0000166|GO:0004815|GO:0005524|GO:0005737|GO:0006422__GO:0000166|GO:0004812|GO:0005524|GO:0006418__-__GO:0000166|GO:0004812|GO:0005524|GO:0006418__GO:0003676
CopciAB_464224.T0	IPR000182__IPR016181__IPR039949	GNAT domain__Acyl-CoA N-acyltransferase__N-alpha-acetyltransferase 40	GO:0016747__-__GO:0010485|GO:0043998
CopciAB_464231.T0	IPR014801	Mediator complex, subunit Med5, fungi	GO:0003712|GO:0006357|GO:0016592
CopciAB_464252.T0	IPR000571__IPR001878__IPR045348__IPR036855__IPR036875	Zinc finger, CCCH-type__Zinc finger, CCHC-type__CPSF complex subunit CPSF4-like__Zinc finger, CCCH-type superfamily__Zinc finger, CCHC-type superfamily	GO:0046872__GO:0003676|GO:0008270__GO:0003723|GO:0098789__GO:0046872__GO:0003676|GO:0008270
CopciAB_464275.T0	IPR046520	Protein of unknown function DUF6697	-
CopciAB_464311.T0	IPR002925__IPR029058	Dienelactone hydrolase__Alpha/Beta hydrolase fold	GO:0016787__-
CopciAB_464328.T0	IPR001810	F-box domain	GO:0005515
CopciAB_464341.T0	IPR005301__IPR036703	MOB kinase activator family__MOB kinase activator superfamily	-__-
CopciAB_464348.T0	IPR004045__IPR036249__IPR036282	Glutathione S-transferase, N-terminal__Thioredoxin-like superfamily__Glutathione S-transferase, C-terminal domain superfamily	-__-__-
CopciAB_464389.T0	IPR002054__IPR027421__IPR043519__IPR028207__IPR001357__IPR010996__IPR022312__IPR019843__IPR036420__IPR037160__IPR029398__IPR018944__IPR002008	DNA-directed DNA polymerase X__DNA polymerase lambda lyase domain superfamily__Nucleotidyltransferase superfamily__DNA polymerase beta, palm domain__BRCT domain__DNA polymerase beta-like, N-terminal domain__DNA polymerase family X__DNA polymerase family X, binding site__BRCT domain superfamily__DNA polymerase, thumb domain superfamily__DNA polymerase beta, thumb domain__DNA polymerase lambda, fingers domain__DNA polymerase family X, beta-like	GO:0003677|GO:0003887__-__-__-__-__-__GO:0003677|GO:0003887|GO:0006281__GO:0016779__-__-__-__GO:0003677|GO:0034061__GO:0003677|GO:0006281
CopciAB_464402.T0	IPR013087	Zinc finger C2H2-type	-
CopciAB_464407.T0	IPR000210__IPR011333	BTB/POZ domain__SKP1/BTB/POZ domain superfamily	GO:0005515__-
